Household_ID,Age_of_Household_Head,Household_Income,Education_Level,Family_Size,Owns_House,Urban_Rural
HH0054,38,42157,Primary,9,No,Rural
HH0055,74,72863,Secondary,2,Yes,Rural
HH0056,33,57083,Graduate,8,No,Urban
HH0057,50,70733,Primary,2,No,Urban
HH0058,77,94045,Post-Grad,5,Yes,Urban
HH0059,26,39698,Secondary,7,Yes,Urban
HH0060,44,85623,Secondary,8,No,Urban
HH0061,52,27671,Primary,1,Yes,Rural
HH0062,71,30184,Primary,6,Yes,Rural
HH0063,31,98384,Post-Grad,1,Yes,Urban
HH0064,68,47107,Graduate,2,Yes,Rural
HH0065,32,91202,Secondary,1,Yes,Urban
HH0066,71,56663,Graduate,5,Yes,Rural
HH0067,59,20708,Secondary,9,Yes,Rural
HH0068,38,96906,Graduate,6,No,Urban
HH0069,41,54811,Primary,1,Yes,Urban
HH0070,60,7811,Secondary,1,Yes,Rural
HH0071,74,61250,Primary,2,Yes,Urban
HH0072,64,77082,Primary,9,Yes,Urban
HH0073,28,39754,Secondary,3,Yes,Rural
HH0074,26,16411,Primary,1,No,Urban
HH0075,30,7911,Primary,5,No,Rural
HH0076,78,72270,Secondary,7,Yes,Urban
HH0077,66,88763,Post-Grad,6,No,Rural
HH0078,28,13680,Primary,1,No,Urban
HH0079,78,89896,Primary,5,Yes,Rural
HH0080,53,88879,Graduate,5,No,Rural
HH0081,42,76295,Graduate,6,No,Urban
HH0082,50,93614,Secondary,3,Yes,Urban
HH0083,68,16111,Secondary,5,Yes,Rural
HH0084,58,42504,Graduate,7,No,Urban
HH0085,34,6802,Primary,5,No,Urban
HH0086,60,13155,Post-Grad,5,Yes,Urban
HH0087,38,78656,Graduate,5,No,Urban
HH0088,55,44384,Secondary,3,No,Rural
HH0089,72,52254,Primary,1,No,Urban
HH0090,39,26918,Post-Grad,5,No,Urban
HH0091,32,90981,Secondary,9,No,Urban
HH0092,38,65713,Secondary,1,Yes,Urban
HH0093,47,35306,Graduate,3,Yes,Urban
HH0094,64,21646,Graduate,4,No,Urban
HH0095,45,51843,Post-Grad,1,No,Rural
HH0096,40,95735,Post-Grad,1,Yes,Urban
HH0097,69,21371,Graduate,8,Yes,Urban
HH0098,42,82371,Graduate,2,No,Rural
HH0099,71,7049,Graduate,8,Yes,Urban
HH0100,77,36616,Graduate,7,No,Rural
HH0101,48,25932,Secondary,2,No,Urban
HH0102,50,34855,Primary,6,No,Urban
HH0103,49,66434,Graduate,6,Yes,Urban
HH0104,69,77694,Graduate,3,Yes,Urban
HH0105,65,48016,Graduate,2,Yes,Rural
HH0106,53,12400,Graduate,1,Yes,Urban
HH0107,39,47642,Graduate,6,Yes,Urban
HH0108,69,20151,Secondary,5,Yes,Urban
HH0109,25,56407,Secondary,9,Yes,Urban
HH0110,49,71690,Secondary,1,Yes,Rural
HH0111,31,9499,Secondary,7,Yes,Urban
HH0112,33,11295,Primary,5,Yes,Urban
HH0113,48,64040,Graduate,5,Yes,Urban
HH0114,25,17183,Secondary,2,No,Urban
HH0115,68,34299,Graduate,3,No,Rural
HH0116,32,17874,Secondary,7,Yes,Urban
HH0117,48,37711,Graduate,6,No,Rural
HH0118,35,10539,Secondary,2,Yes,Urban
HH0119,75,58351,Secondary,6,No,Urban
HH0120,41,66267,Secondary,2,Yes,Rural
HH0121,32,53354,Graduate,2,No,Urban
HH0122,59,7557,Secondary,2,No,Urban
HH0123,59,43360,Post-Grad,3,No,Rural
HH0124,57,87018,Primary,2,No,Urban
HH0125,29,7200,Secondary,4,Yes,Rural
HH0126,66,73497,Post-Grad,9,Yes,Urban
HH0127,63,51975,Secondary,6,No,Rural
HH0128,65,26357,Secondary,1,Yes,Rural
HH0129,52,82505,Secondary,8,No,Urban
HH0130,31,7869,Secondary,7,Yes,Rural
HH0131,33,66135,Graduate,3,Yes,Urban
HH0132,32,55108,Primary,1,Yes,Rural
HH0133,36,99179,Secondary,5,Yes,Urban
HH0134,58,95272,Secondary,4,No,Urban
HH0135,57,43467,Graduate,8,Yes,Urban
HH0136,72,28328,Secondary,1,Yes,Urban
HH0137,79,96412,Secondary,1,Yes,Urban
HH0138,47,91831,Graduate,4,Yes,Rural
HH0139,48,8987,Graduate,8,No,Rural
HH0140,61,63871,Secondary,5,Yes,Rural
HH0141,59,27399,Secondary,2,Yes,Urban
HH0142,68,51214,Secondary,6,Yes,Urban
HH0143,64,91416,Secondary,5,No,Urban
HH0144,46,75271,Secondary,2,Yes,Urban
HH0145,51,49064,Secondary,3,No,Urban
HH0146,59,75091,Primary,9,No,Urban
HH0147,25,45818,Primary,7,Yes,Rural
HH0148,59,50525,Post-Grad,7,Yes,Urban
HH0149,61,24830,Graduate,6,Yes,Urban
HH0150,71,22429,Secondary,8,Yes,Urban
HH0151,38,11893,Post-Grad,4,No,Urban
HH0152,27,84909,Graduate,8,No,Urban
HH0153,25,52333,Secondary,4,Yes,Rural
HH0154,29,8436,Secondary,8,Yes,Urban
HH0155,50,79290,Primary,9,Yes,Urban
HH0156,79,81213,Primary,3,No,Urban
HH0157,38,10895,Graduate,3,Yes,Rural
HH0158,63,24738,Secondary,2,Yes,Rural
HH0159,51,35746,Secondary,3,No,Rural
HH0160,33,54377,Post-Grad,3,No,Urban
HH0161,39,53404,Graduate,5,Yes,Urban
HH0162,39,59045,Primary,5,No,Urban
HH0163,50,44790,Post-Grad,2,No,Rural
HH0164,66,10600,Post-Grad,6,Yes,Rural
HH0165,37,99660,Post-Grad,5,Yes,Urban
HH0166,75,98179,Primary,6,Yes,Rural
HH0167,56,45764,Graduate,1,Yes,Rural
HH0168,63,79543,Secondary,5,No,Urban
HH0169,73,50714,Graduate,9,No,Rural
HH0170,76,61835,Post-Grad,2,Yes,Rural
HH0171,56,78744,Graduate,1,Yes,Urban
HH0172,28,61491,Graduate,9,Yes,Urban
HH0173,54,23589,Graduate,9,Yes,Urban
HH0174,61,48484,Graduate,9,No,Urban
HH0175,47,87989,Secondary,6,Yes,Urban
HH0176,63,41212,Secondary,8,Yes,Urban
HH0177,69,48525,Secondary,1,Yes,Rural
HH0178,39,52202,Graduate,4,No,Urban
HH0179,67,37635,Primary,1,Yes,Urban
HH0180,53,68208,Secondary,8,No,Urban
HH0181,60,38828,Secondary,1,Yes,Urban
HH0182,37,23711,Secondary,3,No,Rural
HH0183,56,8420,Graduate,4,No,Urban
HH0184,31,5301,Graduate,8,Yes,Urban
HH0185,75,50236,Secondary,6,Yes,Urban
HH0186,46,71235,Post-Grad,7,No,Rural
HH0187,52,59240,Secondary,8,No,Rural
HH0188,26,70726,Secondary,2,Yes,Urban
HH0189,66,15492,Graduate,8,Yes,Urban
HH0190,69,11102,Secondary,3,No,Urban
HH0191,77,55336,Secondary,7,Yes,Urban
HH0192,30,90314,Graduate,3,Yes,Urban
HH0193,52,31641,Secondary,7,No,Urban
HH0194,52,39584,Secondary,2,Yes,Urban
HH0195,68,37745,Secondary,6,Yes,Urban
HH0196,68,28093,Secondary,3,Yes,Rural
HH0197,44,71105,Secondary,3,Yes,Urban
HH0198,54,56885,Secondary,9,Yes,Urban
HH0199,35,41631,Graduate,7,No,Urban
HH0200,79,77991,Graduate,5,Yes,Urban
